GEOID,date,hour_range,risk_score,risk_level,risk_decile
06075980501,2025-10-25,00-03,0.1413980418937289,low,4
06075980501,2025-10-25,03-06,1.681853734675974e-05,low,1
06075980501,2025-10-25,06-09,1.681853734675974e-05,low,1
06075980501,2025-10-25,09-12,0.9992581951130368,medium,7
06075980501,2025-10-25,12-15,1.681853734675974e-05,low,1
06075980501,2025-10-25,15-18,1.681853734675974e-05,low,1
06075980501,2025-10-25,18-21,1.681853734675974e-05,low,1
06075980501,2025-10-25,21-24,1.681853734675974e-05,low,1
06075016802,2025-10-25,00-03,2.352310652712177e-05,low,3
06075016802,2025-10-25,03-06,0.9990269495144611,medium,7
06075016802,2025-10-25,06-09,2.352310652712177e-05,low,3
06075016802,2025-10-25,09-12,0.9999726865507111,critical,10
06075016802,2025-10-25,12-15,0.7392464509147189,medium,6
06075016802,2025-10-25,15-18,0.7310678740337552,medium,6
06075016802,2025-10-25,18-21,0.9999698431878294,critical,10
06075016802,2025-10-25,21-24,0.9999726751845402,critical,10
06075020802,2025-10-25,00-03,0.999971883139551,critical,10
06075020802,2025-10-25,03-06,0.5914924078318622,medium,6
06075020802,2025-10-25,06-09,0.9999729449213013,critical,10
06075020802,2025-10-25,09-12,0.9999704766016388,critical,10
06075020802,2025-10-25,12-15,0.9999650529059579,high,9
06075020802,2025-10-25,15-18,0.8457302076001136,medium,6
06075020802,2025-10-25,18-21,0.9999650529059579,high,9
06075020802,2025-10-25,21-24,0.9999701408797952,critical,10
06075061200,2025-10-25,00-03,1.681853734675974e-05,low,1
06075061200,2025-10-25,03-06,0.9995790329680205,medium,8
06075061200,2025-10-25,06-09,0.7696203906069365,medium,6
06075061200,2025-10-25,09-12,0.37788330058660946,medium,5
06075061200,2025-10-25,12-15,0.9999587018255576,high,9
06075061200,2025-10-25,15-18,0.7097324555204751,medium,6
06075061200,2025-10-25,18-21,0.9999595187120379,high,9
06075061200,2025-10-25,21-24,0.5993843736806176,medium,6
06075023400,2025-10-25,00-03,0.9960611656917905,medium,7
06075023400,2025-10-25,03-06,0.9999412844749059,high,9
06075023400,2025-10-25,06-09,0.9999739114133418,critical,10
06075023400,2025-10-25,09-12,0.9999701408797952,critical,10
06075023400,2025-10-25,12-15,0.999972215039,critical,10
06075023400,2025-10-25,15-18,0.9999704766016388,critical,10
06075023400,2025-10-25,18-21,0.9999684911906462,high,9
06075023400,2025-10-25,21-24,0.9995030642425888,medium,7
06075045202,2025-10-25,00-03,0.9994022071129187,medium,7
06075045202,2025-10-25,03-06,1.681853734675974e-05,low,1
06075045202,2025-10-25,06-09,0.33838944315620206,medium,5
06075045202,2025-10-25,09-12,1.681853734675974e-05,low,1
06075045202,2025-10-25,12-15,1.681853734675974e-05,low,1
06075045202,2025-10-25,15-18,0.3238309365120622,medium,5
06075045202,2025-10-25,18-21,0.1288825088877675,low,4
06075045202,2025-10-25,21-24,1.681853734675974e-05,low,1
06075022803,2025-10-25,00-03,1.681853734675974e-05,low,1
06075022803,2025-10-25,03-06,1.681853734675974e-05,low,1
06075022803,2025-10-25,06-09,1.681853734675974e-05,low,1
06075022803,2025-10-25,09-12,0.45703751860717173,medium,5
06075022803,2025-10-25,12-15,0.9999172089393629,high,9
06075022803,2025-10-25,15-18,1.681853734675974e-05,low,1
06075022803,2025-10-25,18-21,0.9996497906230211,medium,8
06075022803,2025-10-25,21-24,0.9996157405090432,medium,8
06075012601,2025-10-25,00-03,0.9997758471577413,medium,8
06075012601,2025-10-25,03-06,0.2950527029905554,medium,5
06075012601,2025-10-25,06-09,0.5694659748884786,medium,6
06075012601,2025-10-25,09-12,0.3256161101834326,medium,5
